,time,seconds_elapsed,acc_x,acc_y,acc_z,gra_x,gra_y,gra_z,gyr_x,gyr_y,gyr_z,ori_x,ori_y,ori_z,activity
0,1686424081590979800,0.032979736328125,-0.266470085504651,-0.0791214675098657,-0.0742997464418411,-1.7569295925348996,-9.619939095386862,-0.7350898330990224,0.0011301208287477,0.0573694705963134,0.0011301208287477,0.4099465484711668,0.54264599524381,0.6548453045452902,0
1,1686424081600955000,0.042954833984375,-0.0774862675234675,-0.0624111557275056,0.0019546411991119,-1.7540780024960636,-9.620189270755647,-0.738620564508438,0.0127534875646233,0.0749969333410263,0.0127534875646233,0.4095967542203935,0.5427442580931747,0.6550229385366367,0
2,1686424081610929700,0.0529296875,-0.0363129840053617,-0.0168342304229736,0.0571603225272148,-1.75006072967872,-9.62087549945414,-0.7392083012685179,0.0122089562937617,0.0682248324155807,0.0122089562937617,0.4092589697681119,0.5429714174083896,0.6551008214081884,0
3,1686424081620904700,0.06290478515625,-0.0372051105394959,-0.0698152945041656,0.0217348619461059,-1.747822156971693,-9.621313890871406,-0.738798332228139,0.0018777553923428,0.0448129884898662,0.0018777553923428,0.4090440545026387,0.5431525838327956,0.6551472301590987,0
4,1686424081630879700,0.072879638671875,-0.0204081433869898,-0.1499257730513811,-0.0344833574254065,-1.748608192782849,-9.621112230819463,-0.7395913823019713,-0.0126476194709539,0.0338870547711849,-0.0126476194709539,0.4089480013215958,0.5431876900373644,0.6552466067189378,0
5,1686424081640854800,0.082854736328125,0.0019578560695052,-0.1732113715708255,-0.0796013599812984,-1.7521191235132514,-9.620270519298314,-0.7422087982587516,-0.0283722523599863,0.0364245139062404,-0.0283722523599863,0.4089106795568296,0.5430929380962012,0.6554360118022359,0
6,1686424081650829800,0.092829833984375,-0.0255213947474956,-0.1770259614229202,-0.0924246011972427,-1.7574109463110563,-9.618999768710136,-0.74614460333772,-0.0294255577027797,0.0451063513755798,-0.0294255577027797,0.4088851516388215,0.5429273865091837,0.6557026559165506,0
7,1686424081660805600,0.1028056640625,-0.0504369325563311,-0.1274234338641166,-0.0524707764714956,-1.762721912200749,-9.61772551099062,-0.750035911687836,-0.0218062531203031,0.0405874997377395,-0.0218062531203031,0.4088524112152834,0.5427693039061534,0.6559735629348226,0
8,1686424081670780700,0.11278076171875,-0.0339217049546539,-0.1050005896538495,-0.0747941788952797,-1.7654701879955828,-9.616953942096233,-0.753450323241204,-0.0235422551631927,0.0318703316152095,-0.0235422551631927,0.4087726671654775,0.5426689876342421,0.6561766795575082,0
9,1686424081680756000,0.122755859375,-0.026896044101566,-0.1288058281332254,-0.0656101709645241,-1.766061578017473,-9.61664180740714,-0.7560502035412937,-0.0273939855396747,0.0345060639083385,-0.0273939855396747,0.4086563201250575,0.5426344822214607,0.6563138076516651,0
10,1686424081690730800,0.132730712890625,0.0109993867896497,-0.1407557936459779,-0.0164882665295153,-1.7656503668680783,-9.616514966157078,-0.7586342286851256,-0.0248960684984922,0.0446494705975055,-0.0248960684984922,0.4084918726625212,0.5426369033447517,0.6564455468434983,0
11,1686424081700705800,0.142705810546875,0.0511379204325377,-0.1100491052150726,0.0111134416233748,-1.7652371098920705,-9.616396308213472,-0.7610972577977925,-0.0199111644178628,0.0370815657079219,-0.0199111644178628,0.4083237933472641,0.5426476933089982,0.6565771762611192,0
12,1686424081710680800,0.152680908203125,0.0589576542727649,-0.0734317314356565,-0.0065933338504284,-1.7645267696656286,-9.616351300027969,-0.7632917721673845,-0.0142868924885988,0.026566170156002,-0.0142868924885988,0.4081804584070321,0.542652433788788,0.6566788019442055,0
13,1686424081720655600,0.162655517578125,0.0411870197825133,-0.0653518853545188,0.0053256520021706,-1.763515254535526,-9.616349546462295,-0.7656342436403035,-0.0175801571458578,0.0132303908467292,-0.0175801571458578,0.4080525478185531,0.5426385869770866,0.656763513516872,0
14,1686424081730630700,0.172630615234375,-0.0134729372963309,-0.0779202750265598,0.0233902279376983,-1.7631740398824214,-9.616202246946097,-0.7682864386495203,-0.0212691091001033,0.0037692529149353,-0.0212691091001033,0.4079681040193396,0.5425774790039752,0.6568504775991203,0
15,1686424081740606000,0.18260595703125,-0.0172672150127589,-0.0781061529874801,0.0617103870470076,-1.7640189662739634,-9.615866146859526,-0.7705437160570174,-0.0192275289446115,0.0013897186145186,-0.0192275289446115,0.4079460983353707,0.5424879591387785,0.6569329736271868,0
16,1686424081750580700,0.192580810546875,-0.0102555826850235,-0.0520142648756504,0.0373970529150217,-1.7653445157893002,-9.615473932671549,-0.7724174009744077,-0.0100449826568365,0.0027679631020873,-0.0100449826568365,0.4079451372375104,0.5424006256866838,0.6570123805101715,0
17,1686424081760555800,0.2025556640625,-0.0210283211119472,-0.0321095409661531,0.0026286680031567,-1.7663922712765634,-9.615175826507809,-0.7737111671119928,-0.0047343727201223,0.0111246956512331,-0.0047343727201223,0.4079318433117063,0.5423498121370581,0.6570792346346535,0
18,1686424081770530800,0.21253076171875,-0.0150394559606909,-0.0261357272535562,0.0216682264506816,-1.7669950594753026,-9.615015082988142,-0.77434581175372,-0.0045492919161915,0.0192942470312118,-0.0045492919161915,0.4078964970387761,0.5423465655293003,0.6571325790652851,0
19,1686424081780507000,0.2225068359375,-0.0095155779726803,-0.0173708215177059,0.0255786048274487,-1.7671321298584342,-9.614952539145946,-0.7748145983092486,-0.0024621724151074,0.0237643625587224,-0.0024621724151074,0.4078331579507191,0.5423721633607752,0.6571840066596519,0
20,1686424081790482000,0.23248193359375,-0.0064941843248903,-0.0032803368449211,0.0199479054640978,-1.7667118586197494,-9.614976504543424,-0.7754680937819183,4.14138194173e-05,0.0325342454016208,4.14138194173e-05,0.4077299398072806,0.5424190498653751,0.6572437417209596,0
21,1686424081800456700,0.242456787109375,-0.008259148170799,-0.0007499415844678,0.0108077366750687,-1.7658447203963994,-9.61511328266561,-0.7757554593559354,0.0041261701844632,0.0372432470321655,0.0041261701844632,0.4076036858367557,0.5425004282943834,0.6572956557797296,0
22,1686424081810431700,0.252431640625,-0.0108832130640745,-0.013032500052452,0.0115600894123315,-1.7651657982215283,-9.615249476265909,-0.7756095480792224,0.0068579944781959,0.0368728153407573,0.0068579944781959,0.4074889818520591,0.5425934463756916,0.6573392010156831,0
23,1686424081820406800,0.26240673828125,-0.0350718979030847,-0.043072249007225,0.0233826291531324,-1.7644696326509115,-9.615436523270606,-0.7748628213651478,0.0087930466979742,0.0329489149153232,0.0087930466979742,0.4073892365521755,0.5427034194751824,0.6573622778140613,0
24,1686424081830381800,0.2723818359375,-0.071196519729495,-0.0732061059862375,0.055925885361433,-1.7635101399689912,-9.615679099854828,-0.774036307413131,0.0136747956275939,0.0297483541071414,0.0136747956275939,0.4072919789457921,0.5428152304247419,0.657373453957621,0
25,1686424081840356900,0.28235693359375,-0.0896983911037445,-0.1206324585497379,0.05145546194911,-1.7622165930271148,-9.615987142890692,-0.7731578440781682,0.0148114319890737,0.035674687474966,0.0148114319890737,0.4071823473347885,0.5429387213887,0.6573797975290236,0
26,1686424081850332000,0.292331787109375,-0.0750010265789926,-0.1396545544058084,0.0430780211608856,-1.7604541133992373,-9.61641968908906,-0.7718133706666529,0.0183616559952497,0.0364442728459835,0.0183616559952497,0.4070579824902645,0.5430950813184182,0.6573707095929616,0
27,1686424081860306700,0.302306640625,-0.0399151001505553,-0.1460416250944137,0.0485386246543377,-1.7584297679647802,-9.616915363651511,-0.7702406414572149,0.020358495414257,0.0371601283550262,0.020358495414257,0.4069266072938163,0.5432673295348238,0.6573526777184744,0
28,1686424081870281700,0.31228173828125,-0.0253869547128677,-0.1369125622212886,0.0332183789908885,-1.7566475607231258,-9.617364276462792,-0.7686871284049004,0.0207605361938476,0.0437906496226787,0.0207605361938476,0.4067959555320373,0.5434380507466637,0.6573426940907191,0
29,1686424081880256800,0.3222568359375,-0.0356326005257666,-0.1381663616746664,0.0257481161754578,-1.7550806036673483,-9.617757075172662,-0.7673522265393287,0.0214566867798566,0.0418438762426376,0.0214566867798566,0.4066612627517422,0.5436014554836278,0.6573464362078447,0
30,1686424081890232800,0.33223291015625,-0.0604017156012356,-0.1579196944147348,0.0486800789516419,-1.753954522246867,-9.618055765858292,-0.7661920967187732,0.0189503896981477,0.0517454892396926,0.0189503896981477,0.4065223961332389,0.5437597037424206,0.6573707760134916,0
31,1686424081900207900,0.342207763671875,-0.0558329463809728,-0.1380862821757793,0.0730570529043674,-1.7532856830745935,-9.618286067482828,-0.7648322065424173,0.0253313239663839,0.063352882862091,0.0253313239663839,0.4063733589177872,0.5439348338965347,0.657413077291968,0
32,1686424081910182700,0.3521826171875,-0.0463211678005754,-0.0986672949790954,0.0619171616654843,-1.7529215259373188,-9.618500002494454,-0.7629694083452224,0.0252584442496299,0.0687534809112548,0.0252584442496299,0.406212904948446,0.5441419491685274,0.6574633849494247,0
33,1686424081920157700,0.36215771484375,-0.0331558351486921,-0.0799959122568368,0.0289689048528671,-1.752320052912831,-9.618765375432371,-0.7609959893804044,0.0272345095872879,0.0741000324487686,0.0272345095872879,0.4060332482644973,0.5443684439416472,0.657514942155871,0
34,1686424081930133000,0.372133056640625,0.0245716928072273,-0.0696644878566265,0.0185656573254615,-1.75138949406445,-9.619070495858788,-0.7592716498058288,0.0267343241721391,0.0740220174193382,0.0267343241721391,0.4058299287564352,0.5446007595182851,0.6575738511363748,0
35,1686424081940107800,0.382107666015625,0.0973905530415475,-0.0679798957705497,0.0023508739750832,-1.750138032698631,-9.619409518554804,-0.7578712084233761,0.0212889574468135,0.0660959184169769,0.0212889574468135,0.4056250792265288,0.5448188838280804,0.6576286245805014,0
36,1686424081950082800,0.392082763671875,0.1419545019112527,-0.082875267085433,-0.0363472516011446,-1.7486133073493837,-9.619776598301527,-0.7567321213908493,0.0159350279718637,0.0506789572536945,0.0159350279718637,0.4054416465495035,0.5450086871296683,0.6576659044378982,0
37,1686424081960057900,0.402057861328125,0.1191620937362313,-0.1181786356568336,-0.0316916078150272,-1.7472192226424812,-9.620087563946845,-0.7560006653111427,0.0110957976430654,0.0403759852051734,0.0110957976430654,0.4052906211385027,0.5451552113433408,0.6576956102024978,0
38,1686424081970032600,0.41203271484375,0.0893571764506399,-0.1388058286219835,0.0248691413838416,-1.7465936380900442,-9.62025941338241,-0.7552495546828955,0.0062234094366431,0.0339593030512332,0.0062234094366431,0.4051849219334694,0.5452688936646247,0.6577238135210931,0
39,1686424081980007700,0.422007568359375,0.0415565837472677,-0.1105389345586299,0.031186580902338,-1.7462281657785177,-9.620394437938929,-0.7543855582647025,0.0078460732474923,0.038972970098257,0.0078460732474923,0.4050934599817534,0.5453772371913803,0.6577503158249693,0
40,1686424081989982700,0.431982666015625,0.0333121947541832,-0.0854085849553346,0.0051636663734912,-1.7457646399199962,-9.620535307714343,-0.7536511795755475,0.0076427431777119,0.0482717230916023,0.0076427431777119,0.40497673887521,0.5454982349800215,0.6577907836080279,0
41,1686424081999958800,0.441958740234375,0.0408805841818451,-0.0836526811987161,-0.0023813421785831,-1.7452528910055756,-9.620645197829605,-0.7534379021510481,0.0054389769211411,0.0600194595754146,0.0054389769211411,0.4048209591883762,0.5456238175924378,0.6578624183022294,0
42,1686424082009933800,0.451933837890625,0.0756456080928444,-0.0991173768341541,8.88473272323e-05,-1.744553656695038,-9.62074222846329,-0.7538130921389907,0.0034175030887126,0.0644841939210891,0.0034175030887126,0.4046242576731518,0.5457521758784548,0.6579627935488183,0
43,1686424082019908600,0.46190869140625,0.1061734328255057,-0.0931640213876962,-0.0094645784378051,-1.7435079470343886,-9.62085971736312,-0.7547345178328454,0.0004400890320539,0.0606143474578857,0.0004400890320539,0.4044008756151771,0.5458746933027712,0.6580772970798193,0
44,1686424082029884000,0.4718837890625,0.122562549829483,-0.0714870271086692,-0.0096902038872241,-1.742239972925186,-9.62098948122263,-0.7560055606819689,-0.0018221042118966,0.0581596791744232,-0.0018221042118966,0.4041776198502104,0.5459806725686689,0.6581905561822201,0
45,1686424082039859000,0.48185888671875,0.1515295549862086,-0.0738613550245761,0.0016067776095122,-1.7415791709288957,-9.621010524010655,-0.7572766035310924,-0.000769622856751,0.0547060891985893,-0.000769622856751,0.403975119424589,0.5460711876856857,0.6583120088984856,0
46,1686424082049833700,0.491833740234375,0.138382488643378,-0.0931844796538352,0.0047041591029614,-1.741450137721747,-9.620990650266409,-0.7578305841520429,-0.0025524129159748,0.043153841048479,-0.0025524129159748,0.4038247207071366,0.5461565614904886,0.6584071897453795,0
47,1686424082059808800,0.501808837890625,0.1148268410108983,-0.1003314287990331,0.0139403356123715,-1.7418362144298851,-9.62087491493225,-0.7583874143172055,-0.0065442249178886,0.0324865505099296,-0.0065442249178886,0.4037200556185411,0.5462079442244324,0.6584924487313785,0
48,1686424082069783800,0.51178369140625,0.107929628843069,-0.1242576633095741,-0.0085042089730501,-1.7421221917644143,-9.620741643941402,-0.7594357543263583,-0.0122880199924111,0.0234877057373523,-0.0122880199924111,0.4036281189168387,0.5462269637078728,0.6585759790564087,0
49,1686424082079758600,0.521758544921875,0.089566873678565,-0.1383843883395195,-0.0164285722315311,-1.7418654405243694,-9.620680853664874,-0.7607892147619277,-0.0100802592933177,0.0139836827293038,-0.0100802592933177,0.4035479074772186,0.5462230598035024,0.6586397936844827,0
