,time,seconds_elapsed,acc_x,acc_y,acc_z,gra_x,gra_y,gra_z,gyr_x,gyr_y,gyr_z,ori_x,ori_y,ori_z,activity
0,1685826904787083800,0.023083740234375,-0.4043360394606367,-0.2323322535812854,-0.1348879245258867,-0.2727743550143204,-9.71587608861923,-1.302979810001701,-0.0763159245252609,0.0254987981170415,-0.0763159245252609,-0.415349334246394,0.5109319395359562,0.5704424879508057,0
1,1685826904797059800,0.033059814453125,-0.4766080429345369,-0.1790969224780798,-0.1039044649802148,-0.2766674717290326,-9.715240713325144,-1.306878717136383,-0.0387522540986537,0.0396648719906806,-0.0387522540986537,-0.4152252549816859,0.5108382466894055,0.5703726635150342,0
2,1685826904807035600,0.04303564453125,-0.4315069549808278,-0.0523100329518318,-0.1223312252916395,-0.2758299431926571,-9.71498644630313,-1.308952600800991,0.002892127726227,0.0418225675821304,0.002892127726227,-0.415305200394103,0.5106697379963077,0.5703422544170333,0
3,1685826904817012700,0.0530126953125,-0.2723445304960012,0.06499532700181,-0.0553518848657608,-0.2729350437350571,-9.714974755865336,-1.3096421905003488,0.0175237227231264,0.0378186106681823,0.0175237227231264,-0.4154670700334233,0.5105036163897713,0.5703342257739836,0
4,1685826904826988800,0.06298876953125,-0.1122054064661264,0.0511304677784442,0.1039116253733634,-0.2711660065022297,-9.714877140709758,-1.3107393380872905,-0.0011964343721047,0.027630154043436,-0.0011964343721047,-0.4155776205492464,0.5103588318323926,0.5703194025925582,0
5,1685826904836964900,0.07296484375,-0.0851844208106398,-0.0740484020292758,0.1433440565735101,-0.271402463872917,-9.71449603243768,-1.3135099718444048,-0.0130514185875654,-0.0019382298924028,-0.0130514185875654,-0.4155443781913809,0.5102474857703612,0.5703446955244961,0
6,1685826904846940700,0.082940673828125,-0.062969940387737,-0.0924731165140867,-0.0111268125616013,-0.2738640864797868,-9.714026661360265,-1.3164575696036218,-0.0104194171726703,-0.0477312840521335,-0.0104194171726703,-0.4153406796476045,0.5102660686397742,0.5704218620461967,0
7,1685826904856917800,0.092917724609375,0.0047281610330566,-0.0163327106416225,-0.1420950794257223,-0.2785652499080635,-9.713553783151507,-1.3189670682065189,-0.0147268287837505,-0.1037463024258613,-0.0147268287837505,-0.4149510328198944,0.5104576706478033,0.5705640887824613,0
8,1685826904866893800,0.102893798828125,0.0440013648171909,0.0262374340623617,-0.1401600197099149,-0.2855162198234349,-9.713027713450789,-1.3213507484726608,-0.0260276868939399,-0.1391562223434448,-0.0260276868939399,-0.414382640318776,0.5108002432304452,0.5707640771656395,0
9,1685826904876869600,0.11286962890625,0.0792939014673233,-0.0275625451862812,-0.105883802229166,-0.293874499253463,-9.712349083536862,-1.3245017598494886,-0.0373751260340213,-0.1626720875501632,-0.0373751260340213,-0.4136775090850738,0.5112143616567204,0.5710255172945734,0
10,1685826904886846700,0.1228466796875,0.058395198084414,-0.0807762489795684,-0.1102466736137866,-0.3014069588512182,-9.711507956537604,-1.3289680916085838,-0.0471212305128574,-0.1725529432296753,-0.0471212305128574,-0.4129154494086883,0.5116075794100997,0.5713856291107061,0
11,1685826904896822800,0.13282275390625,0.0218628357073292,-0.0701870504260063,-0.1221231354989111,-0.3063239021883346,-9.710726450771093,-1.333551912267506,-0.0510396547615528,-0.1782441586256027,-0.0510396547615528,-0.4122112193277411,0.5119469584732204,0.5718223288732103,0
12,1685826904906798800,0.142798828125,0.0075198741108179,-0.0445090038120746,-0.1263864920318126,-0.3084413875326514,-9.710216747683289,-1.336770143661648,-0.0497522838413715,-0.1772782206535339,-0.0497522838413715,-0.4116095753362204,0.5122706765044929,0.5722987821201917,0
