,time,seconds_elapsed,acc_x,acc_y,acc_z,gra_x,gra_y,gra_z,gyr_x,gyr_y,gyr_z,ori_x,ori_y,ori_z,activity
0,1689125574165758700,0.0157587890625,-0.2294349977698176,0.0423246455103158,-0.2069566970452666,-0.9547967061240226,-9.22139395081997,-3.197597479175031,0.0959540158510208,-0.0442057885229587,0.0959540158510208,-0.4733583394040683,-0.3360056245853501,-0.5372027728852616,0
1,1689125574175735800,0.02573583984375,-0.3834006938617676,0.1823386808782816,-0.1549716582641005,-0.9575020195599644,-9.22254487442076,-3.1934684165462848,0.0855522379279136,-0.0245633795857429,0.0855522379279136,-0.4736106444364099,-0.3359633528414308,-0.537097034425699,0
2,1689125574185713700,0.035713623046875,-0.2443511196117848,-0.0303343479871749,-0.1306543786093592,-0.958884998350963,-9.22325448399484,-3.191000857388973,0.0772356167435646,0.0024463238660246,0.0772356167435646,-0.4737408189159531,-0.33596707673414,-0.5370558056720337,0
3,1689125574195690800,0.045690673828125,-0.1777466769129037,-0.2189513784825801,-0.0676806205630302,-0.9589007073767484,-9.22377938465178,-3.189481100475788,0.0884235575795173,0.0207984335720539,0.0884235575795173,-0.4737633864561906,-0.3360505545166919,-0.5370798779716079,0
4,1689125574205668600,0.055668701171875,-0.1922255763813853,-0.1843734015762805,-0.0879395647376775,-0.9596844781655818,-9.224390210026504,-3.187477943959832,0.0971450731158256,0.0146167166531085,0.0971450731158256,-0.473796273896479,-0.3361561348348942,-0.5371563556836406,0
5,1689125574215646700,0.065646728515625,-0.1881394761115312,-0.1428273392230272,-0.1956137575149536,-0.962274494658783,-9.225234844157098,-3.184250798606872,0.1012628600001335,-0.0077397213317453,0.1012628600001335,-0.4739311379952509,-0.3362107582197527,-0.5372184351368361,0
6,1689125574225623600,0.07562353515625,-0.0587391892164945,-0.1225122809469699,-0.1925064391493797,-0.9670265845566988,-9.226246651548148,-3.179876236784458,0.1022184640169143,-0.016070244833827,0.1022184640169143,-0.4741704581746674,-0.3362050055249016,-0.5372819129924142,0
7,1689125574235601700,0.0856015625,-0.0487058709800243,-0.0671101271986961,-0.3336591231584548,-0.973618164841458,-9.227629045817256,-3.173846601231396,0.0915375873446464,-0.0284014791250228,0.0915375873446464,-0.4745094142120522,-0.3361839977760797,-0.5373553259290518,0
8,1689125574245578800,0.095578857421875,-0.0790264096375554,-0.0683949063122272,-0.4771893499538302,-0.985495138183236,-9.22858883076012,-3.1673835426971317,0.0706830844283104,-0.0499168261885643,0.0706830844283104,-0.4750246205099895,-0.3359464071830431,-0.5374758999139967,0
9,1689125574255556900,0.105556884765625,0.000511895044893,-0.0214227272570133,-0.5313973254814743,-0.9991934086680412,-9.228875831007956,-3.1622572857245803,0.0546298138797283,-0.066011905670166,0.0546298138797283,-0.4755675549259715,-0.3355670621841971,-0.5376097914570623,0
